N,events,censored,trisk,df,logLik,AIC,BIC,Method,Cancer,Age,Gender
110705,20697,90008,559345.2822,2,-88721.77087,177447.5417,177466.771,Gompertz,BreastCancer,All,Both
110705,20697,90008,559345.2822,2,-88746.07326,177496.1465,177515.3758,Weibull,BreastCancer,All,Both
110705,20697,90008,559345.2822,1,-88930.41838,177862.8368,177872.4514,Exponential,BreastCancer,All,Both
110705,20697,90008,559345.2822,2,-88712.83286,177429.6657,177448.895,Log-logistic,BreastCancer,All,Both
110705,20697,90008,559345.2822,2,-89057.5604,178119.1208,178138.3501,Log-normal,BreastCancer,All,Both
110705,20697,90008,559345.2822,3,-88718.77765,177443.5553,177472.3992,Generalised Gamma,BreastCancer,All,Both
110705,20697,90008,559345.2822,3,-88724.8016,177455.6032,177484.4471,Spline (1 knot),BreastCancer,All,Both
110705,20697,90008,559345.2822,5,-88701.66886,177413.3377,177461.4108,Spline (3 knots),BreastCancer,All,Both
71983,32691,39292,251499.674,2,-94788.30347,189580.6069,189598.9753,Gompertz,ColorectalCancer,All,Both
71983,32691,39292,251499.674,2,-94717.99781,189439.9956,189458.364,Weibull,ColorectalCancer,All,Both
71983,32691,39292,251499.674,1,-99391.81648,198785.633,198794.8171,Exponential,ColorectalCancer,All,Both
71983,32691,39292,251499.674,2,-94077.86543,188159.7309,188178.0992,Log-logistic,ColorectalCancer,All,Both
71983,32691,39292,251499.674,2,-93750.71641,187505.4328,187523.8012,Log-normal,ColorectalCancer,All,Both
71983,32691,39292,251499.674,3,-93750.4125,187506.825,187534.3776,Generalised Gamma,ColorectalCancer,All,Both
71983,32691,39292,251499.674,3,-93795.51829,187597.0366,187624.5891,Spline (1 knot),ColorectalCancer,All,Both
71983,32691,39292,251499.674,5,-93699.71426,187409.4285,187455.3495,Spline (3 knots),ColorectalCancer,All,Both
15683,6465,9218,57202.21096,2,-19870.27899,39744.55798,39759.87864,Gompertz,HeadNeckCancer,All,Both
15683,6465,9218,57202.21096,2,-19939.69686,39883.39373,39898.71439,Weibull,HeadNeckCancer,All,Both
15683,6465,9218,57202.21096,1,-20559.92537,41121.85073,41129.51107,Exponential,HeadNeckCancer,All,Both
15683,6465,9218,57202.21096,2,-19806.55113,39617.10227,39632.42293,Log-logistic,HeadNeckCancer,All,Both
15683,6465,9218,57202.21096,2,-19704.49464,39412.98928,39428.30994,Log-normal,HeadNeckCancer,All,Both
15683,6465,9218,57202.21096,3,-19701.49812,39408.99624,39431.97724,Generalised Gamma,HeadNeckCancer,All,Both
15683,6465,9218,57202.21096,3,-19692.01588,39390.03176,39413.01276,Spline (1 knot),HeadNeckCancer,All,Both
15683,6465,9218,57202.21096,5,-19672.20853,39354.41705,39392.71872,Spline (3 knots),HeadNeckCancer,All,Both
5705,4111,1594,7822.926027,2,-5917.615787,11839.23157,11852.52977,Gompertz,LiverCancer,All,Both
5705,4111,1594,7822.926027,2,-5975.498313,11954.99663,11968.29482,Weibull,LiverCancer,All,Both
5705,4111,1594,7822.926027,1,-6755.985947,13513.97189,13520.62099,Exponential,LiverCancer,All,Both
5705,4111,1594,7822.926027,2,-5772.532643,11549.06529,11562.36348,Log-logistic,LiverCancer,All,Both
5705,4111,1594,7822.926027,2,-5729.272504,11462.54501,11475.8432,Log-normal,LiverCancer,All,Both
5705,4111,1594,7822.926027,3,-5725.70364,11457.40728,11477.35457,Generalised Gamma,LiverCancer,All,Both
5705,4111,1594,7822.926027,3,-5738.548982,11483.09796,11503.04526,Spline (1 knot),LiverCancer,All,Both
5705,4111,1594,7822.926027,5,-5726.059413,11462.11883,11495.36432,Spline (3 knots),LiverCancer,All,Both
68373,51974,16399,84339.48219,2,-67645.03969,135294.0794,135312.3448,Gompertz,LungCancer,All,Both
68373,51974,16399,84339.48219,2,-69544.48806,139092.9761,139111.2416,Weibull,LungCancer,All,Both
68373,51974,16399,84339.48219,1,-77134.95202,154271.904,154281.0368,Exponential,LungCancer,All,Both
68373,51974,16399,84339.48219,2,-66663.70546,133331.4109,133349.6764,Log-logistic,LungCancer,All,Both
68373,51974,16399,84339.48219,2,-66526.11876,133056.2375,133074.503,Log-normal,LungCancer,All,Both
68373,51974,16399,84339.48219,3,-66526.02749,133058.055,133085.4532,Generalised Gamma,LungCancer,All,Both
68373,51974,16399,84339.48219,3,-66528.89619,133063.7924,133091.1906,Spline (1 knot),LungCancer,All,Both
68373,51974,16399,84339.48219,5,-66345.3638,132700.7276,132746.3913,Spline (3 knots),LungCancer,All,Both
15236,12919,2317,12502.81918,2,-9618.395432,19240.79086,19256.0537,Gompertz,PancreaticCancer,All,Both
15236,12919,2317,12502.81918,2,-10508.66866,21021.33731,21036.60014,Weibull,PancreaticCancer,All,Both
15236,12919,2317,12502.81918,1,-12495.96808,24993.93617,25001.56758,Exponential,PancreaticCancer,All,Both
15236,12919,2317,12502.81918,2,-9445.480296,18894.96059,18910.22342,Log-logistic,PancreaticCancer,All,Both
15236,12919,2317,12502.81918,2,-9476.585496,18957.17099,18972.43383,Log-normal,PancreaticCancer,All,Both
15236,12919,2317,12502.81918,3,-9474.029963,18954.05993,18976.95418,Generalised Gamma,PancreaticCancer,All,Both
15236,12919,2317,12502.81918,3,-9430.574359,18867.14872,18890.04297,Spline (1 knot),PancreaticCancer,All,Both
15236,12919,2317,12502.81918,5,-9410.135819,18830.27164,18868.42872,Spline (3 knots),PancreaticCancer,All,Both
95855,25713,70142,432319.5425,2,-98266.4735,196536.947,196555.8882,Gompertz,ProstateCancer,All,Both
95855,25713,70142,432319.5425,2,-98274.10638,196552.2128,196571.1539,Weibull,ProstateCancer,All,Both
95855,25713,70142,432319.5425,1,-98279.41339,196560.8268,196570.2974,Exponential,ProstateCancer,All,Both
95855,25713,70142,432319.5425,2,-98308.50427,196621.0085,196639.9497,Log-logistic,ProstateCancer,All,Both
95855,25713,70142,432319.5425,2,-98943.98736,197891.9747,197910.9159,Log-normal,ProstateCancer,All,Both
95855,25713,70142,432319.5425,3,-98260.43572,196526.8714,196555.2832,Generalised Gamma,ProstateCancer,All,Both
95855,25713,70142,432319.5425,3,-98257.85486,196521.7097,196550.1215,Spline (1 knot),ProstateCancer,All,Both
95855,25713,70142,432319.5425,5,-98236.26434,196482.5287,196529.8816,Spline (3 knots),ProstateCancer,All,Both
9840,7414,2426,16514.11233,2,-11321.99139,22647.98278,22662.3712,Gompertz,StomachCancer,All,Both
9840,7414,2426,16514.11233,2,-11839.26519,23682.53037,23696.9188,Weibull,StomachCancer,All,Both
9840,7414,2426,16514.11233,1,-13351.46634,26704.93267,26712.12689,Exponential,StomachCancer,All,Both
9840,7414,2426,16514.11233,2,-11257.91045,22519.8209,22534.20933,Log-logistic,StomachCancer,All,Both
9840,7414,2426,16514.11233,2,-11246.87719,22497.75438,22512.1428,Log-normal,StomachCancer,All,Both
9840,7414,2426,16514.11233,3,-11227.09037,22460.18075,22481.76338,Generalised Gamma,StomachCancer,All,Both
9840,7414,2426,16514.11233,3,-11189.67329,22385.34657,22406.92921,Spline (1 knot),StomachCancer,All,Both
9840,7414,2426,16514.11233,5,-11123.45824,22256.91648,22292.88754,Spline (3 knots),StomachCancer,All,Both
